date,asset_i,asset_j,cov
2017-01-31,TIP,SPY,-8.966349909577584e-06
2017-01-31,TIP,VEA,-6.915468190192205e-06
2017-01-31,TIP,EEM,-1.1417103909658097e-05
2017-01-31,TIP,IEF,1.505338675696707e-05
2017-01-31,TIP,TLT,2.3104020273001124e-05
2017-01-31,TIP,TIP,2.0931365704248317e-05
2017-01-31,TIP,LQD,2.1774262428321042e-06
2017-01-31,TIP,VNQ,2.129574050805802e-06
2017-01-31,TIP,GLD,5.18565137379165e-06
2017-01-31,TIP,DBC,8.46656301363264e-06
2017-01-31,LQD,SPY,2.396549373394845e-05
2017-01-31,LQD,VEA,2.721610229683999e-05
2017-01-31,LQD,EEM,3.1981872025159185e-05
2017-01-31,LQD,IEF,4.6245597746513714e-06
2017-01-31,LQD,TLT,2.781931655977303e-06
2017-01-31,LQD,TIP,2.1774262428321042e-06
2017-01-31,LQD,LQD,3.231116658113788e-05
2017-01-31,LQD,VNQ,3.975427808193887e-06
2017-01-31,LQD,GLD,1.2055097243099902e-05
2017-01-31,LQD,DBC,5.866335295391894e-06
2017-01-31,VNQ,SPY,2.088436847666057e-05
2017-01-31,VNQ,VEA,2.1347789970256606e-05
2017-01-31,VNQ,EEM,1.974258503805769e-05
2017-01-31,VNQ,IEF,1.9642859311203993e-06
2017-01-31,VNQ,TLT,6.995309316493986e-06
2017-01-31,VNQ,TIP,2.129574050805802e-06
2017-01-31,VNQ,LQD,3.975427808193887e-06
2017-01-31,VNQ,VNQ,8.886121178676026e-05
2017-01-31,VNQ,GLD,8.982789535838024e-06
2017-01-31,VNQ,DBC,2.8827806047878014e-05
2017-01-31,GLD,SPY,2.1244451492586104e-05
2017-01-31,GLD,VEA,2.5469402692564176e-05
2017-01-31,GLD,EEM,3.0390932677851626e-05
2017-01-31,GLD,IEF,4.449769096370374e-06
2017-01-31,GLD,TLT,7.332178049767272e-06
2017-01-31,GLD,TIP,5.18565137379165e-06
2017-01-31,GLD,LQD,1.2055097243099902e-05
2017-01-31,GLD,VNQ,8.982789535838024e-06
2017-01-31,GLD,GLD,8.108280388414883e-05
2017-01-31,GLD,DBC,2.5280848757366478e-05
2017-01-31,DBC,SPY,2.8497973401714232e-05
2017-01-31,DBC,VEA,2.73832937883622e-05
2017-01-31,DBC,EEM,2.28189199298736e-05
2017-01-31,DBC,IEF,7.835975922231285e-06
2017-01-31,DBC,TLT,1.2759340638639918e-05
2017-01-31,DBC,TIP,8.46656301363264e-06
2017-01-31,DBC,LQD,5.866335295391894e-06
2017-01-31,DBC,VNQ,2.8827806047878014e-05
2017-01-31,DBC,GLD,2.5280848757366478e-05
2017-01-31,DBC,DBC,0.00013775955531299537
2017-02-28,SPY,SPY,0.00010139769501930694
2017-02-28,SPY,VEA,7.118885810793464e-05
2017-02-28,SPY,EEM,9.058849335985921e-05
2017-02-28,SPY,IEF,-6.292097375113407e-06
2017-02-28,SPY,TLT,-1.1770844325678327e-05
2017-02-28,SPY,TIP,-8.904046311111978e-06
2017-02-28,SPY,LQD,2.3370101681060962e-05
2017-02-28,SPY,VNQ,2.233422502613384e-05
2017-02-28,SPY,GLD,2.0345122601264386e-05
2017-02-28,SPY,DBC,3.126583449347944e-05
2017-02-28,VEA,SPY,7.118885810793464e-05
2017-02-28,VEA,VEA,0.00010698475805013756
2017-02-28,VEA,EEM,9.362325427197765e-05
2017-02-28,VEA,IEF,-5.150162306570224e-06
2017-02-28,VEA,TLT,-9.712807149939853e-06
2017-02-28,VEA,TIP,-6.6690041646746044e-06
2017-02-28,VEA,LQD,2.6589333824973987e-05
2017-02-28,VEA,VNQ,2.124610818223923e-05
2017-02-28,VEA,GLD,2.460657443866473e-05
2017-02-28,VEA,DBC,2.9303726481874817e-05
2017-02-28,EEM,SPY,9.058849335985921e-05
2017-02-28,EEM,VEA,9.362325427197765e-05
2017-02-28,EEM,EEM,0.00016992610892712281
2017-02-28,EEM,IEF,-7.487948201485815e-06
2017-02-28,EEM,TLT,-1.3221591422442498e-05
2017-02-28,EEM,TIP,-1.04205837617508e-05
2017-02-28,EEM,LQD,3.1299436145572525e-05
2017-02-28,EEM,VNQ,2.0331179314014967e-05
2017-02-28,EEM,GLD,2.6818525337812002e-05
2017-02-28,EEM,DBC,2.8214042072501822e-05
2017-02-28,IEF,SPY,-6.292097375113407e-06
2017-02-28,IEF,VEA,-5.150162306570224e-06
2017-02-28,IEF,EEM,-7.487948201485815e-06
2017-02-28,IEF,IEF,2.101192999264142e-05
2017-02-28,IEF,TLT,2.261416349068555e-05
2017-02-28,IEF,TIP,1.5461221117095777e-05
2017-02-28,IEF,LQD,4.303141207041404e-06
2017-02-28,IEF,VNQ,2.5325912761188995e-06
2017-02-28,IEF,GLD,3.852187134417405e-06
2017-02-28,IEF,DBC,8.528749916563665e-06
2017-02-28,TLT,SPY,-1.1770844325678327e-05
2017-02-28,TLT,VEA,-9.712807149939853e-06
2017-02-28,TLT,EEM,-1.3221591422442498e-05
2017-02-28,TLT,IEF,2.261416349068555e-05
2017-02-28,TLT,TLT,4.5888344602291145e-05
2017-02-28,TLT,TIP,2.3711672156078362e-05
2017-02-28,TLT,LQD,3.2553232913402013e-06
2017-02-28,TLT,VNQ,5.972596616518457e-06
2017-02-28,TLT,GLD,6.95593409567673e-06
2017-02-28,TLT,DBC,1.2195344017423392e-05
2017-02-28,TIP,SPY,-8.904046311111978e-06
2017-02-28,TIP,VEA,-6.6690041646746044e-06
2017-02-28,TIP,EEM,-1.04205837617508e-05
2017-02-28,TIP,IEF,1.5461221117095777e-05
2017-02-28,TIP,TLT,2.3711672156078362e-05
2017-02-28,TIP,TIP,2.1243252635790736e-05
2017-02-28,TIP,LQD,2.24555655455335e-06
2017-02-28,TIP,VNQ,2.623969117660648e-06
2017-02-28,TIP,GLD,4.47148120255839e-06
2017-02-28,TIP,DBC,8.22075404828557e-06
2017-02-28,LQD,SPY,2.3370101681060962e-05
2017-02-28,LQD,VEA,2.6589333824973987e-05
2017-02-28,LQD,EEM,3.1299436145572525e-05
2017-02-28,LQD,IEF,4.303141207041404e-06
2017-02-28,LQD,TLT,3.2553232913402013e-06
2017-02-28,LQD,TIP,2.24555655455335e-06
2017-02-28,LQD,LQD,3.2175528891546684e-05
2017-02-28,LQD,VNQ,3.007675204741262e-06
2017-02-28,LQD,GLD,1.1717805240854191e-05
2017-02-28,LQD,DBC,4.748729427210504e-06
2017-02-28,VNQ,SPY,2.233422502613384e-05
2017-02-28,VNQ,VEA,2.124610818223923e-05
2017-02-28,VNQ,EEM,2.0331179314014967e-05
2017-02-28,VNQ,IEF,2.5325912761188995e-06
2017-02-28,VNQ,TLT,5.972596616518457e-06
2017-02-28,VNQ,TIP,2.623969117660648e-06
2017-02-28,VNQ,LQD,3.007675204741262e-06
2017-02-28,VNQ,VNQ,9.073395762405353e-05
2017-02-28,VNQ,GLD,7.1996039929709485e-06
2017-02-28,VNQ,DBC,3.204130636202774e-05
2017-02-28,GLD,SPY,2.0345122601264386e-05
2017-02-28,GLD,VEA,2.460657443866473e-05
2017-02-28,GLD,EEM,2.6818525337812002e-05
2017-02-28,GLD,IEF,3.852187134417405e-06
2017-02-28,GLD,TLT,6.95593409567673e-06
2017-02-28,GLD,TIP,4.47148120255839e-06
2017-02-28,GLD,LQD,1.1717805240854191e-05
2017-02-28,GLD,VNQ,7.1996039929709485e-06
2017-02-28,GLD,GLD,8.245187692105301e-05
2017-02-28,GLD,DBC,2.192721860265399e-05
2017-02-28,DBC,SPY,3.126583449347944e-05
2017-02-28,DBC,VEA,2.9303726481874817e-05
2017-02-28,DBC,EEM,2.8214042072501822e-05
2017-02-28,DBC,IEF,8.528749916563665e-06
2017-02-28,DBC,TLT,1.2195344017423392e-05
2017-02-28,DBC,TIP,8.22075404828557e-06
2017-02-28,DBC,LQD,4.748729427210504e-06
2017-02-28,DBC,VNQ,3.204130636202774e-05
2017-02-28,DBC,GLD,2.192721860265399e-05
2017-02-28,DBC,DBC,0.00014146758354935418
2017-03-31,SPY,SPY,0.00010343596945087151
2017-03-31,SPY,VEA,7.209674524073523e-05
2017-03-31,SPY,EEM,9.251360316665363e-05
2017-03-31,SPY,IEF,-6.728437950825469e-06
2017-03-31,SPY,TLT,-1.3417678952401071e-05
2017-03-31,SPY,TIP,-9.881094737438456e-06
2017-03-31,SPY,LQD,2.4235253897014416e-05
2017-03-31,SPY,VNQ,2.2581536681954526e-05
2017-03-31,SPY,GLD,2.2245212289677073e-05
2017-03-31,SPY,DBC,3.114748961176487e-05
2017-03-31,VEA,SPY,7.209674524073523e-05
2017-03-31,VEA,VEA,0.00010777037858502121
2017-03-31,VEA,EEM,9.480948177276894e-05
2017-03-31,VEA,IEF,-5.6457467722139206e-06
2017-03-31,VEA,TLT,-1.0408496237736904e-05
2017-03-31,VEA,TIP,-6.530568990882701e-06
2017-03-31,VEA,LQD,2.7150898451258377e-05
2017-03-31,VEA,VNQ,2.3166047548372894e-05
2017-03-31,VEA,GLD,2.5960841267422433e-05
2017-03-31,VEA,DBC,2.7870131115040536e-05
2017-03-31,EEM,SPY,9.251360316665363e-05
2017-03-31,EEM,VEA,9.480948177276894e-05
2017-03-31,EEM,EEM,0.0001720253409431185
2017-03-31,EEM,IEF,-7.369637867679781e-06
2017-03-31,EEM,TLT,-1.3061086958337054e-05
2017-03-31,EEM,TIP,-1.0264447904511698e-05
2017-03-31,EEM,LQD,3.339192077141988e-05
2017-03-31,EEM,VNQ,2.1551389347003918e-05
2017-03-31,EEM,GLD,2.9073780154811756e-05
2017-03-31,EEM,DBC,2.7308544454234576e-05
2017-03-31,IEF,SPY,-6.728437950825469e-06
2017-03-31,IEF,VEA,-5.6457467722139206e-06
2017-03-31,IEF,EEM,-7.369637867679781e-06
2017-03-31,IEF,IEF,2.0566498171373933e-05
2017-03-31,IEF,TLT,2.2220070988512507e-05
2017-03-31,IEF,TIP,1.517220366442925e-05
2017-03-31,IEF,LQD,4.261818225235792e-06
2017-03-31,IEF,VNQ,2.5456379655079858e-06
2017-03-31,IEF,GLD,4.062943870411858e-06
2017-03-31,IEF,DBC,7.448205596908244e-06
2017-03-31,TLT,SPY,-1.3417678952401071e-05
2017-03-31,TLT,VEA,-1.0408496237736904e-05
2017-03-31,TLT,EEM,-1.3061086958337054e-05
2017-03-31,TLT,IEF,2.2220070988512507e-05
2017-03-31,TLT,TLT,4.500210403502871e-05
2017-03-31,TLT,TIP,2.329969536261102e-05
2017-03-31,TLT,LQD,3.358689297359185e-06
2017-03-31,TLT,VNQ,5.522206193619209e-06
2017-03-31,TLT,GLD,6.685114563093908e-06
2017-03-31,TLT,DBC,1.0161745733347456e-05
2017-03-31,TIP,SPY,-9.881094737438456e-06
2017-03-31,TIP,VEA,-6.530568990882701e-06
2017-03-31,TIP,EEM,-1.0264447904511698e-05
2017-03-31,TIP,IEF,1.517220366442925e-05
2017-03-31,TIP,TLT,2.329969536261102e-05
2017-03-31,TIP,TIP,2.0841900386087674e-05
2017-03-31,TIP,LQD,2.2321507744320744e-06
2017-03-31,TIP,VNQ,2.6666468148557593e-06
2017-03-31,TIP,GLD,4.657430963739826e-06
2017-03-31,TIP,DBC,7.196503050336922e-06
2017-03-31,LQD,SPY,2.4235253897014416e-05
2017-03-31,LQD,VEA,2.7150898451258377e-05
2017-03-31,LQD,EEM,3.339192077141988e-05
2017-03-31,LQD,IEF,4.261818225235792e-06
2017-03-31,LQD,TLT,3.358689297359185e-06
2017-03-31,LQD,TIP,2.2321507744320744e-06
2017-03-31,LQD,LQD,3.23882414456536e-05
2017-03-31,LQD,VNQ,3.664196998364556e-06
2017-03-31,LQD,GLD,1.2525172617633445e-05
2017-03-31,LQD,DBC,3.887916147536723e-06
2017-03-31,VNQ,SPY,2.2581536681954526e-05
2017-03-31,VNQ,VEA,2.3166047548372894e-05
2017-03-31,VNQ,EEM,2.1551389347003918e-05
2017-03-31,VNQ,IEF,2.5456379655079858e-06
2017-03-31,VNQ,TLT,5.522206193619209e-06
2017-03-31,VNQ,TIP,2.6666468148557593e-06
2017-03-31,VNQ,LQD,3.664196998364556e-06
2017-03-31,VNQ,VNQ,8.83418825438224e-05
2017-03-31,VNQ,GLD,8.539767634716242e-06
2017-03-31,VNQ,DBC,3.0383784138689165e-05
2017-03-31,GLD,SPY,2.2245212289677073e-05
2017-03-31,GLD,VEA,2.5960841267422433e-05
2017-03-31,GLD,EEM,2.9073780154811756e-05
2017-03-31,GLD,IEF,4.062943870411858e-06
2017-03-31,GLD,TLT,6.685114563093908e-06
2017-03-31,GLD,TIP,4.657430963739826e-06
2017-03-31,GLD,LQD,1.2525172617633445e-05
2017-03-31,GLD,VNQ,8.539767634716242e-06
2017-03-31,GLD,GLD,8.41787029432089e-05
2017-03-31,GLD,DBC,2.0275754664689367e-05
2017-03-31,DBC,SPY,3.114748961176487e-05
2017-03-31,DBC,VEA,2.7870131115040536e-05
2017-03-31,DBC,EEM,2.7308544454234576e-05
2017-03-31,DBC,IEF,7.448205596908244e-06
2017-03-31,DBC,TLT,1.0161745733347456e-05
2017-03-31,DBC,TIP,7.196503050336922e-06
2017-03-31,DBC,LQD,3.887916147536723e-06
2017-03-31,DBC,VNQ,3.0383784138689165e-05
2017-03-31,DBC,GLD,2.0275754664689367e-05
2017-03-31,DBC,DBC,0.000138283420925795
2017-04-28,SPY,SPY,0.000107091502298505
2017-04-28,SPY,VEA,7.605155069634124e-05
2017-04-28,SPY,EEM,9.570335554779475e-05
2017-04-28,SPY,IEF,-7.076900044803375e-06
2017-04-28,SPY,TLT,-1.3411958115090773e-05
2017-04-28,SPY,TIP,-1.029946066588986e-05
2017-04-28,SPY,LQD,2.465014169554952e-05
2017-04-28,SPY,VNQ,2.3672927530396892e-05
2017-04-28,SPY,GLD,2.320848665176838e-05
2017-04-28,SPY,DBC,3.380081651122911e-05
2017-04-28,VEA,SPY,7.605155069634124e-05
2017-04-28,VEA,VEA,0.00011226854345474856
2017-04-28,VEA,EEM,9.96842105948171e-05
2017-04-28,VEA,IEF,-5.917376804144623e-06
2017-04-28,VEA,TLT,-1.1087133491725251e-05
2017-04-28,VEA,TIP,-7.700336422756727e-06
2017-04-28,VEA,LQD,2.7602216804800845e-05
2017-04-28,VEA,VNQ,2.3470638294818287e-05
2017-04-28,VEA,GLD,2.7013749837965804e-05
2017-04-28,VEA,DBC,3.1638314434089515e-05
2017-04-28,EEM,SPY,9.570335554779475e-05
2017-04-28,EEM,VEA,9.96842105948171e-05
2017-04-28,EEM,EEM,0.00017581045233393304
2017-04-28,EEM,IEF,-7.725979858269486e-06
2017-04-28,EEM,TLT,-1.4010362930895245e-05
2017-04-28,EEM,TIP,-1.1815411532027351e-05
2017-04-28,EEM,LQD,3.378005767549668e-05
2017-04-28,EEM,VNQ,2.079124492243583e-05
2017-04-28,EEM,GLD,3.1215236530113263e-05
2017-04-28,EEM,DBC,2.8899079265982388e-05
2017-04-28,IEF,SPY,-7.076900044803375e-06
2017-04-28,IEF,VEA,-5.917376804144623e-06
2017-04-28,IEF,EEM,-7.725979858269486e-06
2017-04-28,IEF,IEF,2.0781806265666346e-05
2017-04-28,IEF,TLT,2.2501942030732602e-05
2017-04-28,IEF,TIP,1.5289870453777097e-05
2017-04-28,IEF,LQD,4.191233976010771e-06
2017-04-28,IEF,VNQ,2.750707111035041e-06
2017-04-28,IEF,GLD,4.498462389433909e-06
2017-04-28,IEF,DBC,8.285371404789989e-06
2017-04-28,TLT,SPY,-1.3411958115090773e-05
2017-04-28,TLT,VEA,-1.1087133491725251e-05
2017-04-28,TLT,EEM,-1.4010362930895245e-05
2017-04-28,TLT,IEF,2.2501942030732602e-05
2017-04-28,TLT,TLT,4.548370801141693e-05
2017-04-28,TLT,TIP,2.351195666229567e-05
2017-04-28,TLT,LQD,3.6728011565464398e-06
2017-04-28,TLT,VNQ,5.399973209559511e-06
2017-04-28,TLT,GLD,7.630269126975786e-06
2017-04-28,TLT,DBC,1.0477385631328287e-05
2017-04-28,TIP,SPY,-1.029946066588986e-05
2017-04-28,TIP,VEA,-7.700336422756727e-06
2017-04-28,TIP,EEM,-1.1815411532027351e-05
2017-04-28,TIP,IEF,1.5289870453777097e-05
2017-04-28,TIP,TLT,2.351195666229567e-05
2017-04-28,TIP,TIP,2.0927230834811455e-05
2017-04-28,TIP,LQD,1.8431540640990093e-06
2017-04-28,TIP,VNQ,2.751544136985446e-06
2017-04-28,TIP,GLD,5.129712018541845e-06
2017-04-28,TIP,DBC,7.595744004000491e-06
2017-04-28,LQD,SPY,2.465014169554952e-05
2017-04-28,LQD,VEA,2.7602216804800845e-05
2017-04-28,LQD,EEM,3.378005767549668e-05
2017-04-28,LQD,IEF,4.191233976010771e-06
2017-04-28,LQD,TLT,3.6728011565464398e-06
2017-04-28,LQD,TIP,1.8431540640990093e-06
2017-04-28,LQD,LQD,3.259988487872966e-05
2017-04-28,LQD,VNQ,3.913701591912951e-06
2017-04-28,LQD,GLD,1.1582994645100665e-05
2017-04-28,LQD,DBC,5.375514847120734e-06
2017-04-28,VNQ,SPY,2.3672927530396892e-05
2017-04-28,VNQ,VEA,2.3470638294818287e-05
2017-04-28,VNQ,EEM,2.079124492243583e-05
2017-04-28,VNQ,IEF,2.750707111035041e-06
2017-04-28,VNQ,TLT,5.399973209559511e-06
2017-04-28,VNQ,TIP,2.751544136985446e-06
2017-04-28,VNQ,LQD,3.913701591912951e-06
2017-04-28,VNQ,VNQ,8.874956871197598e-05
2017-04-28,VNQ,GLD,6.177303210228659e-06
2017-04-28,VNQ,DBC,2.9546762184529037e-05
2017-04-28,GLD,SPY,2.320848665176838e-05
2017-04-28,GLD,VEA,2.7013749837965804e-05
2017-04-28,GLD,EEM,3.1215236530113263e-05
2017-04-28,GLD,IEF,4.498462389433909e-06
2017-04-28,GLD,TLT,7.630269126975786e-06
2017-04-28,GLD,TIP,5.129712018541845e-06
2017-04-28,GLD,LQD,1.1582994645100665e-05
2017-04-28,GLD,VNQ,6.177303210228659e-06
2017-04-28,GLD,GLD,8.642133891815045e-05
2017-04-28,GLD,DBC,1.8804094281375037e-05
2017-04-28,DBC,SPY,3.380081651122911e-05
2017-04-28,DBC,VEA,3.1638314434089515e-05
2017-04-28,DBC,EEM,2.8899079265982388e-05
2017-04-28,DBC,IEF,8.285371404789989e-06
2017-04-28,DBC,TLT,1.0477385631328287e-05
2017-04-28,DBC,TIP,7.595744004000491e-06
2017-04-28,DBC,LQD,5.375514847120734e-06
2017-04-28,DBC,VNQ,2.9546762184529037e-05
2017-04-28,DBC,GLD,1.8804094281375037e-05
2017-04-28,DBC,DBC,0.00014494880067367254
2017-05-31,SPY,SPY,0.00011033559982973358
2017-05-31,SPY,VEA,7.752010430915049e-05
2017-05-31,SPY,EEM,9.751804994686032e-05
2017-05-31,SPY,IEF,-7.164557122353473e-06
2017-05-31,SPY,TLT,-1.4072640581298379e-05
2017-05-31,SPY,TIP,-1.0423005871594443e-05
2017-05-31,SPY,LQD,2.5241835231343934e-05
2017-05-31,SPY,VNQ,2.1669645498912716e-05
2017-05-31,SPY,GLD,2.4350334926588422e-05
2017-05-31,SPY,DBC,3.444841801641363e-05
2017-05-31,VEA,SPY,7.752010430915049e-05
2017-05-31,VEA,VEA,0.00011099081112959694
2017-05-31,VEA,EEM,9.952290300206833e-05
2017-05-31,VEA,IEF,-5.792792628066492e-06
2017-05-31,VEA,TLT,-1.1287841026298736e-05
2017-05-31,VEA,TIP,-7.583848364519228e-06
2017-05-31,VEA,LQD,2.7283587300601566e-05
2017-05-31,VEA,VNQ,2.2272607412228418e-05
2017-05-31,VEA,GLD,2.7533343369646544e-05
2017-05-31,VEA,DBC,3.115951297846152e-05
2017-05-31,EEM,SPY,9.751804994686032e-05
2017-05-31,EEM,VEA,9.952290300206833e-05
